Day,Sales,Trading Profit,Operating Expense,Net Profit
40,34962572,7157932,3563788,3594144
41,36341824,7359354,3635861,3723493
42,36520860,7406868,3692334,3714534
43,36669362,7453275,3748507,3704768
44,36881094,7496688,3835155,3661533
45,37004616,7535772,3965903,3569869
46,37135574,7577264,4066226,3511038
47,38515516,7778389,4151549,3626840
48,38606250,7767860,4206872,3560988
49,38690110,7751406,4292195,3459211
50,38791430,7747892,4348821,3399071
